business_kindom_key,business_kindom_name,matched_mohw_name,new_category
6df15e74-b521-47a3-bc06-d7a81960c285,安泰醫療社團法人安泰醫院_安泰醫療社團法人安泰醫院,安泰醫療社團法人安泰醫院,居家失能個案家庭醫師照護服務
5f8a3ed1-e253-47e7-bce7-27591941036c,有限責任新竹市清安照顧服務勞動合作社_有限責任新竹市清安照顧服務勞動合作社,有限責任新竹市清安照顧服務勞動合作社（新光里）,巷弄長照站
a496da2a-85fb-413c-8507-2ee340130368,有限責任高雄市協和照顧服務勞動合作社_有限責任高雄市協和照顧服務勞動合作社,有限責任高雄市協和照顧服務勞動合作社,喘息服務
34eb82ee-ea36-4738-95a7-299f95a4ba4b,行天宮醫療志業醫療財團法人恩主公醫院_行天宮醫療志業醫療財團法人恩主公醫院,行天宮醫療志業醫療財團法人恩主公醫院,個案管理服務
b4f68ba0-bd65-4357-9b2c-78e047b26fde,佛教慈濟醫療財團法人台中慈濟醫院_佛教慈濟醫療財團法人台中慈濟醫院,佛教慈濟醫療財團法人台中慈濟醫院,專業照護服務
7ced288d-cd71-4340-bda6-3ed961cbd150,佛教慈濟醫療財團法人大林慈濟醫院_佛教慈濟醫療財團法人大林慈濟醫院,佛教慈濟醫療財團法人大林慈濟醫院,專業照護服務
945e54e8-c09a-4b3f-aa59-fd1a978ed473,佛教慈濟醫療財團法人關山慈濟醫院_佛教慈濟醫療財團法人關山慈濟醫院,佛教慈濟醫療財團法人關山慈濟醫院,交通接送服務
c8d28b8d-dfd7-4674-8954-9c19fc7db23e,宏安診所_宏安診所,宏安診所,居家失能個案家庭醫師照護服務
6825628c-3f05-421e-bb28-030e449a48f6,李綜合醫療社團法人大甲李綜合醫院_李綜合醫療社團法人大甲李綜合醫院,李綜合醫療社團法人大甲李綜合醫院,專業照護服務
cdb22456-6496-4b15-b1b1-0a0abe71cc33,杏豐護理之家_杏豐護理之家,杏豐護理之家,喘息服務
c1909b05-079d-4f2c-8fd7-862bda40be7a,沙爾德聖保祿修女會醫療財團法人聖保祿醫院_沙爾德聖保祿修女會醫療財團法人聖保祿醫院,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,個案管理服務
